axis,colinears
neural-muscular,audible electrical neural receptive sensory&confident muscular
thankful-ungrateful,appreciative grateful thankful&ingrate thankless ungrateful
proportionate-uneven,commensurate equivalent proportionate sizeable symmetrical&disproportionate irregular psychiatric unbalanced uneven
dimensional-static,dimensional massive proportional spatial spherical&flat one-sided static
untypical-usual,abnormal nonstandard untypical&common modal typical usual
oceanic-shallow,aquatic marine nautical oceanic&earthy fiery mountainous shallow
emotional-unemotional,emotional feeling illogical labile sensitive thrilling&calm cerebral deadpan reserved stoic unemotional
gross-tasty,disgusting gross total&appealing civic clean minor net polite tasty
progressive-unprogressive,innovative liberal progressive&backward regressive stable stagnant unaffected
conjunct-separate,conjoint conjunct mutual united&disjunct esoteric partial separate
vital-useless,critical essential healthy indispensable lively vital&non-essential unimportant unnecessary useless
unnoticed-seen,hidden unnoticed&noticed seen
morphological-unchanging,anatomical changing morphological structural&biblical spiritual unchanging
knowledgeable-unknowledgeable,informed intelligent knowledgeable well-informed well-read&dumb ignorant naive uninformed unintelligent
vague-specific,aloof fuzzy general imprecise murky unclear vague&clear concise exact explicit forward instructive photographic specific
civic-uncharitable,civic civil local polite public social&external personal private uncharitable
poetic-prosaic,aesthetic fitting imaginative lyrical poetic rhythmic&literal prosaic
climatic-uneventful,atmospheric climatic exciting top weather&boring expected probable superficial trivial uneventful
thrifty-wasteful,cheap frugal provident resourceful thrifty&extravagant spendthrift wasteful
probable-unlikely,expected likely plausible possible probable&impossible improbable unlikely
instructive-vague,helpful instructive&aloof confusing destructive fuzzy general imprecise misleading murky unclear unhelpful useless vague
partial-whole,fractional incomplete partial separate small&complete full whole
modal-still,mental modal typical&exceptional still
unaffected-cynical,genuine homey natural stable unaffected unscathed untouched&affected cynical
linguistic-unspoken,lingual linguistic polyglot verbal&mute silent uncommunicative unspoken
cyclonic-placid,centrifugal cyclonic rapid&calm placid
fiscal-unable,financial fiscal monetary&monthly personal unable
recoverable-unrecoverable,extractable recoverable rectifiable reparable&lost unrecoverable
weightless-weighted,airy floating weightless&dimensional heavy massive weighted
chemical-unaffected,chemical scientific solute synthetic&natural organic physical pure sweet unaffected
double-indivisible,double dual extra twice twin twinned&half indivisible
biblical-secular,antiquated biblical cataclysmic religious scriptural spiritual&chemical scientific secular
unclean-pristine,dirty impure unclean&clean pristine
free-captive,free unrestrained liberty&captive imprisoned confined
wise-foolish,wise sage sapient&foolish scatterbrained silly
scaly-smooth,scaly rough flaky&smooth sleek silky
smelly-odorless,smelly stinky noxious&odorless unscented scentless
stealthy-overt,stealthy sneaky covert&overt obvious conspicuous
speedy-sluggish,fast speedy quick&slow sluggish gradual
powerful-puny,strong powerful muscular&weak feeble puny
strong-weak2,strong sturdy robust&weak flimsy frail
fast-slow2,fast quick speedy&slow sluggish gradual
